Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10360,11760,12230,13190,14000,14610,15640,16230,16370,17220,17620,17880,20000,19170,17890,20070,22630,19200,23340,21680,25510,23770,22370,22450,23520,24420,25190,26250,26560,26810,,
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,510,530,630,660,630,600,550,530,520,530
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,590,680,660,650,850,780,900,330,290,180,370,360,450,410,330,360,390,590,710,1010,1370,1810,2460,3030,3170,3230,3410,4170,4780,5010,4520,3770,3450,3210,2960
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,700,730,730,760,650,410,280,320,380,640,890,800,860,950,1100,1280,1370,1650,2100,2620,3050,3460,4030,4280,4360,4410,4360,4540,4540,4390,4320,4290,4860,5220
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2110.10264,2148.521025,2241.518535,2306.246571,2307.79531,2279.612938,2403.051347,2492.222717,2466.404081,2672.462021,3067.221537,3511.901072,4034.549828,4630.60347,5437.683311,5509.46491,5791.157583,6040.388588,6975.725132,7487.541817,7534.251223,7043.064354,6581.751939,6082.452686,6282.600569,6491.01122
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31400,31970,30940,32780,36160,37500,39380,39590,39910,35000,33400,35030,39220,42840,44330,42860,40570,39290,41470,43470
Argentina,ARG,,,,,1120,1230,1350,1240,1210,1300,1320,1470,1470,1820,2470,2720,2360,2220,2190,2630,2910,2820,2670,2870,2830,2700,3020,3590,3960,2930,3190,3860,6070,7120,7620,7360,7740,8150,8030,7580,7470,7000,4040,3650,3370,4260,5480,6510,7670,7790,9270,10710,11870,12840,12330,12570,12220,13140,12370,11130
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,360,400,470,520,560,590,610,660,710,800,960,1180,1540,2020,2760,3600,3340,3470,3530,3880,4110,4140,4010,3760,3950,4250,4680
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,,1740,2180,2430,2470,2690,3170,3610,3970,4880,6040,6450,6820,7230,7470,7960,8450,8140,8700,9080,9270,9610,10090,9850,9660,10530,11450,12420,13810,15090,15250,13600,12690,12370,12780,12610,12760,12850,13580,14320,15920,16600
Australia,AUS,,,1870,1970,2100,2270,2340,2530,2730,2970,3270,3470,3880,4640,5940,7210,7850,8070,8460,9580,10810,11850,12060,11570,12010,11990,12290,12530,14100,15560,17300,18190,18500,18860,18830,19250,20440,21900,21740,21430,21120,20110,19990,21120,25480,30310,34090,37300,42330,44050,46630,50320,60210,66020,65150,60500,54140,51560,53190,55100
Austria,AUT,,,1060,1140,1240,1340,1470,1560,1680,1850,2070,2320,2760,3580,4650,5540,5980,6660,7540,9620,11460,11180,10380,9600,9270,9360,10820,13810,18070,19300,20630,21810,24520,24870,26140,28190,30090,29560,27970,27080,26790,25290,24970,28020,33750,38720,41460,44510,49110,49000,49610,50590,50060,50700,50370,47450,46200,45070,49080,51440
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590,440,400,410,450,510,570,610,650,710,810,940,1270,1900,2710,3870,4790,5370,5460,6410,7410,7690,6570,4760,4090,4060,4480
Burundi,BDI,,,70,80,80,70,60,50,50,50,70,70,70,80,100,110,120,140,150,180,220,250,240,230,220,240,250,260,250,230,220,220,210,180,160,150,140,150,150,140,130,130,130,120,120,140,150,170,190,200,220,230,250,260,260,260,270,280,280,280
Belgium,BEL,,,1450,1530,1670,1800,1950,2100,2270,2510,2790,3080,3640,4690,6000,6910,7580,8220,9560,11730,13980,13190,11180,9430,8860,8820,10170,13090,17010,18030,19310,20580,23170,23410,25090,27070,28550,28450,26530,25980,25860,24430,24000,27030,32810,37730,39900,42700,46470,46840,46950,46400,47100,47880,47800,45540,43360,42490,46100,47950
Benin,BEN,,,90,100,110,110,110,120,120,120,120,120,130,160,190,200,210,230,250,310,390,410,360,290,270,260,270,310,360,340,370,380,370,380,330,360,350,380,370,410,480,530,530,600,730,820,860,920,1030,1080,1080,1090,1120,1220,1270,1180,1110,1090,1200,1250
Burkina Faso,BFA,,,80,80,80,80,80,90,90,90,90,90,90,110,140,160,170,170,200,250,300,300,280,240,210,210,240,270,330,330,330,360,320,280,230,230,250,250,250,270,270,280,270,320,390,460,490,510,570,610,650,680,730,770,760,700,680,670,750,780
Bangladesh,BGD,,,,,,,,,,,,,,120,160,210,200,170,170,190,230,260,250,230,220,230,250,280,290,300,320,320,330,320,320,340,370,400,420,420,440,440,440,460,510,550,570,610,660,730,800,890,970,1040,1110,1220,1370,1520,1750,1940
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,,,2360,2090,2010,1950,2190,2720,3110,2830,2250,1620,1430,1250,1240,1520,1590,1460,1440,1480,1660,1770,1970,2370,3060,3800,4300,4810,6070,6670,6940,7220,7440,7590,7740,7450,7430,7640,8560,9570
Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,,,8520,9150,9310,7900,7230,7700,7800,7660,9070,9800,9890,10030,9680,10380,10790,10310,10070,9870,10940,11500,12060,12940,14570,16550,17890,19660,20860,18830,18970,18160,22010,23790,24070,22580,21570,21250,21910,22110
"Bahamas, The",BHS,,,1550,1650,1760,1900,2040,2230,2450,2760,2920,3110,3190,3740,3840,4640,3120,3360,3720,5200,6050,5790,6360,6640,7700,8510,9400,10800,11710,12440,11870,11330,11550,11310,11600,14260,15930,14650,17630,24190,25940,26560,27190,27760,29270,30570,30760,31090,30960,29010,28360,28030,29020,28440,28000,28400,29210,30900,31990,33460
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760,1010,1330,1400,1490,1600,1770,2040,2590,3180,3510,3920,4730,4970,4960,5010,4990,5270,5300,5210,5130,5140,5770,6170
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1790,1600,1450,1360,1450,1530,1550,1400,1380,1300,1380,1630,2170,2810,3520,4310,5500,5700,6150,6260,6610,7010,7590,6710,5620,5300,5700,6320
Belize,BLZ,,,330,340,350,370,390,420,420,420,420,450,520,600,730,840,800,850,930,1120,1420,1430,1290,1150,1160,1200,1350,1610,1870,2080,2260,2420,2680,2790,2770,2860,2880,2890,2780,2880,3150,3130,3200,3420,3560,3620,3740,3670,3880,4050,3880,4050,4100,4180,4250,4400,4330,4390,4450,4480
Bermuda,BMU,,,2170,2160,2360,2460,2830,3210,3240,3340,3570,4010,4550,5430,6490,7570,8290,8960,9680,10700,12790,14120,13710,14820,16510,17870,21170,24040,26620,26500,27060,27400,29000,30890,31730,34290,,,,,,,,,,,,99790,107640,104080,103480,101610,100100,101760,99920,101120,103620,112940,116990,117530
Bolivia,BOL,,,,,,,,,,,,,,,,,550,580,650,760,820,900,860,840,850,840,740,720,710,720,720,740,770,790,810,850,900,950,990,980,980,950,920,910,950,1020,1110,1220,1480,1620,1780,2000,2250,2590,2830,2960,3040,3090,3370,3520
Brazil,BRA,,,,,,,280,310,370,410,450,510,590,760,980,1180,1360,1490,1680,1970,2200,2090,2010,1730,1630,1580,1800,2050,2260,2760,2730,3280,3170,3090,3030,3760,4460,5020,4840,4120,3930,3350,3090,2980,3340,4000,4850,6190,7620,8320,9650,11080,12310,12790,12120,10190,8920,8700,9080,9130
Barbados,BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,5910,6690,7430,7860,7600,7570,7460,7690,8010,8340,8700,9050,9420,9820,10780,10630,10650,11300,12290,13240,14220,15530,16180,15730,15540,15050,15720,15660,15630,15740,15920,16070,16700,17380
Brunei Darussalam,BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12090,12460,13580,15160,15030,15090,15680,16210,16220,14420,14040,14680,16070,17140,17810,19990,23090,27580,30930,34150,32460,33300,35520,42370,45320,43090,38850,33170,29800,29390,32230
Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,,,290,270,300,300,350,490,550,570,580,500,470,440,470,490,530,580,550,580,730,770,810,910,1030,1200,1330,1640,1770,1860,2040,2240,2390,2410,2460,2520,2650,2800,2970,3140
Botswana,BWA,,,80,80,90,90,100,100,120,140,160,200,260,350,440,520,540,580,690,890,1110,1340,1290,1170,1090,1070,1150,1340,1980,2320,2720,3070,3270,3330,2960,3260,3180,3330,3210,3150,3170,3260,2930,3370,3920,4930,5440,5730,5740,5330,5610,6610,7250,7570,7520,6840,6560,6690,7340,7650
Central African Republic,CAF,,,80,80,80,90,90,100,100,110,110,110,120,140,170,190,210,240,280,310,360,350,340,270,270,290,340,420,490,490,480,480,470,450,370,350,300,300,280,280,260,260,250,260,300,340,350,380,420,480,510,530,570,380,390,400,410,440,490,520
Canada,CAN,,,,,,,,,,,4240,4480,5010,6050,7180,8010,8770,9120,9750,10600,11600,12380,11900,12190,13150,13940,14570,16330,18620,19860,20640,20980,21410,21270,20890,20850,20810,20190,20200,21210,22620,23030,23620,25860,29900,34800,38500,43080,45640,43230,44480,47180,51000,52770,52180,47570,43870,42990,44990,46360
Central Europe and the Baltics,CEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2231.970331,2433.168251,2708.115552,3162.786212,3616.076717,3823.549411,3863.997492,3909.494377,4086.833185,4167.25229,4426.450815,5184.942946,6375.710548,7734.904282,8864.862183,10303.29135,12400.73681,12756.66982,12802.12978,12935.80192,13078.02865,13426.2535,13563.90996,13249.11168,12858.42674,13081.68588,14653.76144,15889.87626
Switzerland,CHE,,,,,,,,,,,,,5370,7040,9040,10250,10910,12040,14010,17500,21720,21340,19120,17740,17980,18080,20360,25650,33650,35250,36930,37550,40920,40820,41900,45450,48360,48030,44940,43100,43520,40930,39700,45620,53800,61620,63990,62830,63190,70370,77570,79720,84880,88740,86560,85670,81850,78920,83730,85490
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42510,41460,40720,43340,50340,56270,60750,66230,,,,,,,,,,,,
Chile,CHL,,,580,630,670,670,750,760,780,830,880,1060,1150,1360,1650,1150,1010,1060,1360,1790,2300,2780,2280,1820,1590,1430,1470,1660,1930,2200,2350,2600,3120,3440,3730,4420,5070,5590,5490,5120,5060,4800,4540,4510,5190,6210,7340,8690,10050,9950,10750,12340,14350,15160,14940,14130,13370,13270,14620,15010
China,CHN,,,70,80,90,100,110,100,90,110,120,130,130,160,180,200,190,190,200,210,220,220,220,220,250,290,310,320,330,320,330,350,390,420,470,540,650,750,800,860,940,1010,1110,1280,1510,1760,2060,2510,3100,3680,4340,5050,5930,6770,7510,7940,8270,8740,9600,10390
Cote d'Ivoire,CIV,,,160,180,220,210,230,240,270,280,300,300,320,380,480,600,680,780,950,1130,1160,1130,960,720,660,640,730,810,910,830,780,760,780,750,680,700,720,760,760,730,640,590,570,620,770,930,930,970,1070,1160,1190,1130,1230,1330,1450,1660,1840,2030,2180,2290
Cameroon,CMR,,,,,,,,110,130,160,170,170,190,210,280,350,340,340,520,630,630,840,850,780,780,800,930,1040,1130,1070,940,890,890,930,890,840,740,720,710,710,670,640,630,730,910,1010,1060,1110,1240,1320,1330,1350,1370,1430,1490,1440,1380,1340,1450,1500
"Congo, Dem. Rep.",COD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,150,130,120,120,110,130,140,190,170,190,200,230,260,290,300,320,340,380,410,440,460,470,460,500,530
"Congo, Rep.",COG,,,150,150,160,170,180,190,200,220,220,230,270,340,420,500,480,450,490,610,830,1090,1220,1080,1060,990,980,1050,930,940,930,960,1060,800,680,430,470,590,580,490,560,630,670,700,770,1130,1470,1700,2150,2490,2750,2710,3500,3750,3970,3090,2240,1930,1780,1720
Colombia,COL,,,280,280,310,310,320,300,300,320,330,360,390,460,550,590,620,690,850,1060,1250,1350,1330,1280,1280,1210,1220,1240,1300,1250,1330,1380,1560,1740,2050,2350,2540,2660,2570,2330,2340,2330,2370,2370,2620,3000,3500,4130,4710,5130,5620,6310,7290,7950,8200,7330,6460,5930,6260,6510
Comoros,COM,,,,,,,,,,,,,,,,,,,,,,,660,590,550,550,620,780,960,930,980,950,1100,1080,870,850,780,790,730,700,730,700,680,790,950,1090,1130,1170,1290,1370,1380,1410,1420,1490,1490,1380,1320,1280,1380,1400
Cabo Verde,CPV,,,,,,,,,,,,,,,,,,,,,,,510,470,450,450,510,650,840,900,900,910,1040,1190,1300,1410,1350,1350,1330,1370,1410,1350,1300,1520,1900,2160,2300,2820,3300,3480,3400,3510,3440,3490,3360,3210,3130,3080,3400,3630
Costa Rica,CRI,,,360,350,350,370,390,410,440,470,520,570,630,760,880,970,1050,1250,1480,1740,1950,1420,1020,940,1110,1240,1440,1600,1650,1660,1750,1950,2340,2720,2960,3170,3220,3330,3380,3440,3550,3660,3750,4010,4360,4620,5030,5640,6370,6490,7180,8000,9150,9740,10090,10400,10770,11150,11590,11700
Caribbean small states,CSS,,,,,,,,,671.6906454,702.957804,754.9358957,798.2066317,947.5744847,1050.796081,1240.550554,1570.200312,1596.120624,1719.48023,1887.031852,2064.519294,2384.310827,2651.687526,2820.762541,2679.353662,2633.17334,2592.963491,2515.3223,2578.239245,2792.424581,2831.521352,2825.62667,2819.621276,2917.409911,2962.639178,3000.395294,3361.980222,3660.756785,3803.953586,4059.7353,4535.71116,4849.190279,4985.486575,5190.961696,5659.253526,6289.964401,6845.067007,7585.669831,8296.996009,9202.036709,8841.63774,8957.085074,8807.222138,9504.880825,9923.02723,9859.885931,9835.357317,9325.9431,9311.689842,9588.094203,10088.33421
Cuba,CUB,,,,,,,,,,,,,850,1040,1240,1500,1550,1600,1790,1990,2140,2430,2340,2180,2310,2310,2390,2490,2780,2750,2650,2340,2130,1870,2140,2550,2710,2500,2240,2400,2620,2760,2820,3100,3490,3960,4530,5000,5460,5520,5610,5930,6280,6640,6840,7230,7480,,,
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19930,19820,19620,19100,19100,20100,20370
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70220,71050,49570,44030,42930,44370,45870,47320,,
Cyprus,CYP,,,,,,,,,,,,,,,,,,1520,1800,2400,3390,4050,4490,4220,4360,4480,5020,6300,7910,8570,9300,9460,11020,10970,11680,12810,13880,14280,15490,14340,14180,14170,14510,16710,20260,23990,25600,27340,31970,32780,32040,32550,29680,27830,26510,25960,24700,24580,26620,27710
Czech Republic,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3360,3500,4170,5150,5980,6160,6110,6110,6340,6350,6650,8110,10260,12480,14000,15850,18510,18840,19400,19460,19440,19410,18900,18370,17670,18310,20520,21930
Germany,DEU,,,,,,,,,,,,,3600,4670,5800,6720,7130,7670,8870,11050,13010,12540,11120,10020,9880,9840,11240,14240,18620,19760,21300,22890,25810,25990,27530,29520,30860,30140,27950,26840,26150,24740,23610,26080,31570,35710,38230,40440,43570,43520,44550,47220,46530,47190,47620,45810,44230,43570,47050,48600
Djibouti,DJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2730,2870,2990,3260,3310
Dominica,DMA,,,,,,,,,,,,,,,,,,,,710,960,1160,1210,1220,1330,1480,1790,2170,2560,2600,2810,2960,3200,3410,3490,3720,3890,4010,4200,4200,4220,4470,4270,4680,4950,5050,5490,5760,6340,6520,6730,6920,6730,6780,7020,6870,7340,7060,7710,7920
Denmark,DNK,,,,,,,,,2870,3140,3310,3670,4310,5580,6800,8080,8960,9780,11170,13560,15090,14180,12860,11710,11520,11840,14070,17760,22130,23050,24370,25540,28700,28570,30360,32560,34770,35150,33460,33060,32580,31410,30850,34750,42640,49610,53540,55740,60390,60090,61220,61990,61650,63200,63670,60510,58040,56190,61020,64000
Dominican Republic,DOM,,,220,240,260,230,250,250,250,280,340,370,430,520,610,710,780,830,900,1030,1140,1210,1240,1240,1300,1100,1030,940,920,910,870,1040,1340,1610,1740,1960,2170,2360,2450,2540,2680,2740,2890,2640,2560,3040,3640,4430,4760,4920,5330,5540,5790,6030,6330,6580,6860,7090,7760,8080
Algeria,DZA,,,,,240,250,230,250,280,310,330,320,440,530,710,910,1060,1100,1320,1640,1990,2200,2260,2190,2270,2400,2590,2810,2750,2550,2370,1980,1900,1730,1620,1550,1520,1510,1540,1530,1590,1670,1730,1920,2250,2710,3100,3600,4210,4290,4480,4600,5170,5510,5490,4850,4380,3950,3980,4010
East Asia & Pacific (excluding high income),EAP,,,71.31536022,77.57934412,86.2447879,97.71851619,105.7272984,99.72077241,96.54926229,108.1837972,121.1756951,124.587726,131.5697386,158.8591332,185.9394277,216.3379529,211.5685465,225.0125268,238.7070519,263.559828,291.3299617,308.2213034,307.7753789,303.7608191,321.9136852,344.4121397,365.7709262,382.0647682,401.5977642,403.3766364,418.8139112,448.9335946,498.5161524,541.49019,607.9098972,699.2985664,813.9478125,882.1927136,828.3522957,852.5014701,910.9858761,982.9247949,1064.778761,1210.019549,1423.342189,1636.876346,1894.221584,2273.249179,2770.042582,3214.325113,3758.82649,4341.65912,5074.762444,5707.69443,6210.348992,6471.958288,6681.277876,7018.988166,7690.370448,8285.401034
Early-demographic dividend,EAR,,,,,,,,198.5901771,204.1349375,217.8701683,229.5862532,242.0917325,258.2939759,305.6319181,387.5684191,462.5706018,497.0491819,508.7046855,547.9486066,639.0650888,755.2459884,853.5573297,834.3408679,774.9977192,747.6272028,747.9603999,772.0323557,808.7362725,837.6616576,807.0492313,842.9291363,885.1413595,979.769607,1033.767023,1087.160229,1112.626508,1164.635884,1201.436075,1171.410101,1184.253044,1247.778817,1266.09655,1234.418057,1310.492058,1486.775656,1700.440107,1907.232299,2156.114643,2415.094566,2499.321749,2725.674594,2968.788465,3274.315697,3409.96154,3446.144377,3365.397593,3322.937283,3372.856381,3538.720117,3626.538871
East Asia & Pacific,EAS,,,142.7436121,156.1580256,174.7576259,193.5338146,212.7978026,223.8111143,242.9899342,276.5015943,304.6690783,333.9553461,393.6904879,500.7308345,607.1385901,706.7927765,731.724425,790.5766513,933.264778,1133.083917,1286.529866,1337.220931,1289.338416,1255.489652,1295.287894,1381.094698,1586.777126,1937.86159,2475.345531,2653.730825,2756.284583,2865.978729,3067.728794,3317.326609,3639.965294,4102.087022,4310.524003,4182.823308,3664.245794,3627.384398,3836.317236,3922.165053,3878.218287,4060.448879,4567.93269,5000.635305,5289.573622,5662.89237,6173.584979,6523.297463,7339.116825,8139.698099,9108.218919,9709.995937,9941.990966,9830.233139,9903.318139,10246.74414,11099.88388,11718.03632
Europe & Central Asia (excluding high income),ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2373.867129,2241.364183,2155.593518,1918.046342,1942.232112,1944.975718,2020.83251,1857.349376,1714.133554,1798.89161,1710.056034,1866.922246,2208.301404,2905.24807,3741.542736,4634.109339,5742.558492,6978.112762,6861.846902,7403.87664,8070.452182,9314.239395,10289.88732,10187.10196,8804.299959,7641.999443,7307.410271,7692.104991,8036.588137
Europe & Central Asia,ECS,,,,,,,,,,,,,1734.292115,2199.376475,2686.657586,3090.809452,3265.311957,3485.604035,3940.072816,4872.380085,5842.677998,5870.291144,5372.35598,4807.790421,4636.678392,4623.27703,5291.067508,6694.377919,8587.998077,9170.567581,9847.42938,10454.09047,11524.15834,11344.28766,11531.00078,12016.8654,12738.26024,12978.39035,12594.51659,12475.62015,12554.95541,12149.01221,12070.89122,13640.84084,16579.22942,19223.87771,20834.54488,22553.56236,24563.57146,24325.20311,24520.67245,24988.37258,25300.87943,25996.30964,26021.11874,24659.42715,23337.45063,22814.43967,24375.45024,25203.44661
Ecuador,ECU,,,380,350,380,430,450,460,470,500,520,510,510,600,830,1090,1280,1360,1550,1820,2110,2460,2390,2110,1890,1820,1770,1640,1510,1360,1370,1480,1600,1670,1820,1970,2080,2180,2160,1780,1550,1550,1730,2110,2550,2880,3100,3310,3860,4060,4390,4870,5390,5810,6110,5970,5810,5860,6090,6090
"Egypt, Arab Rep.",EGY,,,,,,,,170,180,190,220,240,260,290,300,330,350,370,390,420,490,520,550,560,640,680,740,870,840,780,760,750,750,760,820,920,1020,1130,1210,1310,1420,1430,1330,1240,1200,1220,1320,1530,1840,2120,2370,2560,2840,3030,3230,3340,3440,3030,2790,2690
Euro area,EMU,,,1091.463808,1196.50728,1318.062255,1454.906016,1595.117009,1731.753764,1886.506802,2079.424115,2277.114857,2498.960992,2897.851741,3721.683214,4620.54544,5327.318059,5648.855993,6067.755558,6888.595964,8544.35636,10260.43995,10160.541,9199.418692,8199.837021,7970.397204,7983.37477,9225.779324,11809.99389,15359.62793,16464.47485,17749.18905,18987.61208,21306.22008,20979.23181,21515.25308,22643.43648,23905.94693,23862.31173,22816.57028,22410.37942,22187.11866,21264.2106,20722.65205,23314.42072,28299.27441,32412.15473,34556.01525,36717.75305,39536.57619,39641.15485,39764.2737,40295.01039,39268.89469,39470.15734,39351.54475,37726.91846,36326.82553,35821.45028,38758.08461,40069.12114
